c,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
2754,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,5977,21320,,-7.56,-6.59,Import,2024,Qtr 1,January,1
2755,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,1815,6475,,175.13,178.02,Import,2024,Qtr 1,January,1
2756,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,4798,17118,,83.23,85.18,Import,2024,Qtr 1,January,1
2757,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,84,299,,-57.28,-56.79,Import,2024,Qtr 1,January,1
2759,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,714276,119858,427573,-8.47,-20.57,-19.72,Import,2024,Qtr 1,January,1
2760,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,599075,102735,366492,-35,-35.08,-34.4,Import,2024,Qtr 1,January,1
2761,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,124784,445148,,13.94,15.15,Import,2024,Qtr 1,January,1
2762,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,24478,87322,,16.72,17.96,Import,2024,Qtr 1,January,1
2763,PETROLEUM GROUP,, OTHERS,,,1,5,,-58.8,-58.33,Import,2024,Qtr 1,January,1
2765,TEXTILE GROUP,, RAW COTTON,MT,7048,4602,16417,0.45,5.63,6.76,Import,2024,Qtr 1,January,1
2766,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,27022,12592,44921,59.17,60.84,62.55,Import,2024,Qtr 1,January,1
2767,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,32853,15350,54758,4.46,4.94,6.06,Import,2024,Qtr 1,January,1
2768,TEXTILE GROUP,, WORN CLOTHING,MT,74414,9248,32992,-14.58,-18.26,-17.39,Import,2024,Qtr 1,January,1
2769,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,18800,67066,,-2.69,-1.66,Import,2024,Qtr 1,January,1
2771,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,394536,50102,178731,196.27,145.86,148.48,Import,2024,Qtr 1,January,1
2772,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2820,4784,17066,32.19,66.54,68.3,Import,2024,Qtr 1,January,1
2773,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,169878,57418,204831,10.62,9.96,11.13,Import,2024,Qtr 1,January,1
2774,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,3839,27932,99642,-35.82,-1.06,-0.01,Import,2024,Qtr 1,January,1
2775,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,95020,338968,,-2.09,-1.05,Import,2024,Qtr 1,January,1
2777,METAL GROUP,, GOLD,KG,19,357,1274,58.33,61.72,63.33,Import,2024,Qtr 1,January,1
2778,METAL GROUP,, IRON AND STEEL SCRAP,MT,222529,27975,99795,-7.57,-8.06,-7.08,Import,2024,Qtr 1,January,1
2779,METAL GROUP,, IRON AND STEEL,MT,215724,43799,156245,4.61,5.15,6.27,Import,2024,Qtr 1,January,1
2780,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,5207,18574,,37.81,39.27,Import,2024,Qtr 1,January,1
2781,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,20241,72207,,2.54,3.63,Import,2024,Qtr 1,January,1
2783,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,40462,5472,19521,7.89,-2.93,-1.9,Import,2024,Qtr 1,January,1
2784,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,407057,2663,9500,-8.58,-17.11,-16.23,Import,2024,Qtr 1,January,1
2785,MISCELLANEOUS GROUP,, WOOD & CORK,,,1666,5942,,-44.22,-43.62,Import,2024,Qtr 1,January,1
2786,MISCELLANEOUS GROUP,, JUTE,MT,1588,295,1054,-40.8,-37.43,-36.77,Import,2024,Qtr 1,January,1
2787,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,36276,10487,37410,7.42,17.38,18.62,Import,2024,Qtr 1,January,1
2788,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,88825,316870,,-0.36,0.7,Import,2024,Qtr 1,January,1
2791,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,1955,2049,7360,-36.19,-36.52,-36.51,Import,2024,Qtr 3,July,1
2792,FOOD GROUP,, WHEAT UNMILLED,MT,0,0,0,0,0,0,Import,2024,Qtr 3,July,1
2793,FOOD GROUP,, DRY FRUITS & NUTS,MT,5258,1618,5813,24.54,56.8,56.83,Import,2024,Qtr 3,July,1
2794,FOOD GROUP,, TEA,MT,16880,11120,39943,-14.65,-24.48,-24.46,Import,2024,Qtr 3,July,1
2795,FOOD GROUP,, SPICES,MT,17213,5571,20013,-0.22,2.73,2.74,Import,2024,Qtr 3,July,1
2796,FOOD GROUP,, SOYABEAN OIL,MT,1000,283,1017,-87.1,-86.45,-86.45,Import,2024,Qtr 3,July,1
2797,FOOD GROUP,, PALM OIL,MT,256460,66792,239921,-0.42,-2.89,-2.88,Import,2024,Qtr 3,July,1
2798,FOOD GROUP,, SUGAR,MT,280,83,297,97.19,98.91,98.82,Import,2024,Qtr 3,July,1
2799,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,96280,18551,66638,88.56,69.99,70.01,Import,2024,Qtr 3,July,1
2800,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,36037,129447,,-14.99,-14.98,Import,2024,Qtr 3,July,1
2802,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,8713,31299,,-42.91,-42.9,Import,2024,Qtr 3,July,1
2803,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,8000,28737,,-32.53,-32.51,Import,2024,Qtr 3,July,1
2804,MACHINERY GROUP,, TEXTILE MACHINERY,,,5197,18669,,10.88,10.9,Import,2024,Qtr 3,July,1
2805,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,2480,8909,,14.07,14.1,Import,2024,Qtr 3,July,1
2806,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,95800,344121,,9.24,9.26,Import,2024,Qtr 3,July,1
2808,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,17957,64504,,-76.85,-76.84,Import,2024,Qtr 3,July,1
2809,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,10602,38083,,-8.29,-8.28,Import,2024,Qtr 3,July,1
2810,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,1799,6461,,-32.09,-32.08,Import,2024,Qtr 3,July,1
2811,MACHINERY GROUP,, OTHER MACHINERY,,,37927,136238,,7.91,7.93,Import,2024,Qtr 3,July,1
2815,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,742,2665,,-82.96,-82.96,Import,2024,Qtr 3,July,1
2816,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,6485,23294,,-30.97,-30.96,Import,2024,Qtr 3,July,1
2817,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,26,93,,-72.6,-72.51,Import,2024,Qtr 3,July,1
2819,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,5360,19254,,-43.23,-43.22,Import,2024,Qtr 3,July,1
2820,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,9543,34278,,-66.98,-66.97,Import,2024,Qtr 3,July,1
2821,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,780,2802,,14.19,14.23,Import,2024,Qtr 3,July,1
2822,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,7367,26464,,30.48,30.5,Import,2024,Qtr 3,July,1
2823,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,649,2331,,-31.37,-31.36,Import,2024,Qtr 3,July,1
2824,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,1,5,,-99.93,-99.93,Import,2024,Qtr 3,July,1
2825,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,954,3425,,-91.49,-91.49,Import,2024,Qtr 3,July,1
2827,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,825619,138922,499017,-26.43,-27.11,-27.1,Import,2024,Qtr 3,July,1
2828,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,587795,100512,361046,-25.17,-22.08,-22.07,Import,2024,Qtr 3,July,1
2829,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,92461,332124,,-9.9,-9.88,Import,2024,Qtr 3,July,1
2830,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,20618,74062,,34.68,34.7,Import,2024,Qtr 3,July,1
2831,PETROLEUM GROUP,, OTHERS,,,6,22,,293.37,287.8,Import,2024,Qtr 3,July,1
2833,TEXTILE GROUP,, RAW COTTON,MT,17671,10407,37383,-52.22,-52.34,-52.33,Import,2024,Qtr 3,July,1
2834,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,26916,11095,39855,-20.22,-25.9,-25.89,Import,2024,Qtr 3,July,1
2835,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,27468,13445,48296,-8.11,-3.46,-3.44,Import,2024,Qtr 3,July,1
2836,TEXTILE GROUP,, WORN CLOTHING,MT,83146,10535,37842,-10.2,-5.62,-5.6,Import,2024,Qtr 3,July,1
2837,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,19583,70344,,-9.28,-9.26,Import,2024,Qtr 3,July,1
2839,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,83261,13099,47052,62.83,171.7,171.75,Import,2024,Qtr 3,July,1
2840,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,1978,3212,11537,-16.83,-16.75,-16.74,Import,2024,Qtr 3,July,1
2841,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,154775,53555,192375,0.56,1.23,1.25,Import,2024,Qtr 3,July,1
2842,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,2959,22721,81615,11.79,-2.13,-2.12,Import,2024,Qtr 3,July,1
2843,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,108608,390129,,6.61,6.63,Import,2024,Qtr 3,July,1
2845,METAL GROUP,, GOLD,KG,28,611,2196,0,0,0,Import,2024,Qtr 3,July,1
2846,METAL GROUP,, IRON AND STEEL SCRAP,MT,210786,26674,95814,-3.75,-2.64,-2.63,Import,2024,Qtr 3,July,1
2847,METAL GROUP,, IRON AND STEEL,MT,240779,45397,163070,-8.63,-6.78,-6.77,Import,2024,Qtr 3,July,1
2848,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,3370,12104,,-22.96,-22.95,Import,2024,Qtr 3,July,1
2849,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,22500,80820,,-5.24,-5.23,Import,2024,Qtr 3,July,1
2851,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,46549,7087,25457,32.14,12.47,12.49,Import,2024,Qtr 3,July,1
2852,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,722819,4354,15640,93.38,58.8,58.83,Import,2024,Qtr 3,July,1
2853,MISCELLANEOUS GROUP,, WOOD & CORK,,,2567,9219,,12.63,12.65,Import,2024,Qtr 3,July,1
2854,MISCELLANEOUS GROUP,, JUTE,MT,2197,404,1450,-11.13,-13.98,-13.97,Import,2024,Qtr 3,July,1
2855,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,35249,10055,36118,-12.81,-0.49,-0.48,Import,2024,Qtr 3,July,1
2856,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,86791,311760,,10.43,10.45,Import,2024,Qtr 3,July,1
2859,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,3940,3228,11593,4.93,-24.18,-24.23,Import,2024,Qtr 2,June,1
2860,FOOD GROUP,, WHEAT UNMILLED,MT,0,0,0,0,0,0,Import,2024,Qtr 2,June,1
2861,FOOD GROUP,, DRY FRUITS & NUTS,MT,4181,1032,3707,-51.73,-44.61,-44.64,Import,2024,Qtr 2,June,1
2862,FOOD GROUP,, TEA,MT,20412,14724,52879,-2.72,-6.07,-6.13,Import,2024,Qtr 2,June,1
2863,FOOD GROUP,, SPICES,MT,17237,5424,19478,-18.55,-22.91,-22.96,Import,2024,Qtr 2,June,1
2864,FOOD GROUP,, SOYABEAN OIL,MT,7750,2090,7506,99.24,37.77,37.68,Import,2024,Qtr 2,June,1
2865,FOOD GROUP,, PALM OIL,MT,257530,68781,247025,7.16,7.01,6.94,Import,2024,Qtr 2,June,1
2866,FOOD GROUP,, SUGAR,MT,142,42,149,-58.84,-53.13,-53.28,Import,2024,Qtr 2,June,1
2867,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,50020,10914,39196,-22.54,-18.33,-18.38,Import,2024,Qtr 2,June,1
2868,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,42392,152249,,-7.13,-7.19,Import,2024,Qtr 2,June,1
2870,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,15264,54819,,30.63,30.54,Import,2024,Qtr 2,June,1
2871,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,11856,42582,,23.73,23.64,Import,2024,Qtr 2,June,1
2872,MACHINERY GROUP,, TEXTILE MACHINERY,,,4687,16834,,17.56,17.48,Import,2024,Qtr 2,June,1
2873,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,2174,7809,,-43.25,-43.29,Import,2024,Qtr 2,June,1
2874,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,87700,314970,,-14.73,-14.79,Import,2024,Qtr 2,June,1
2876,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,77566,278574,,76.89,76.77,Import,2024,Qtr 2,June,1
2877,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,11561,41520,,-23.05,-23.1,Import,2024,Qtr 2,June,1
2878,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,2649,9513,,-23.96,-24.01,Import,2024,Qtr 2,June,1
2879,MACHINERY GROUP,, OTHER MACHINERY,,,35160,126274,,-15.75,-15.81,Import,2024,Qtr 2,June,1
2883,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,4354,15637,,28.98,28.89,Import,2024,Qtr 2,June,1
2884,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,9394,33739,,22.14,22.06,Import,2024,Qtr 2,June,1
2885,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,94,338,,15.39,15.2,Import,2024,Qtr 2,June,1
2887,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,9442,33909,,73.81,73.69,Import,2024,Qtr 2,June,1
2888,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,28898,103785,,33.45,33.36,Import,2024,Qtr 2,June,1
2889,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,683,2453,,9.16,9.09,Import,2024,Qtr 2,June,1
2890,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,5646,20278,,10.85,10.78,Import,2024,Qtr 2,June,1
2891,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,946,3396,,39.48,39.39,Import,2024,Qtr 2,June,1
2892,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,1970,7076,,-62.74,-62.76,Import,2024,Qtr 2,June,1
2893,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,11202,40233,,5353.91,5350.05,Import,2024,Qtr 2,June,1
2895,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,1121944,190590,684495,8.37,1.26,1.19,Import,2024,Qtr 2,June,1
2896,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,785538,128995,463280,-10.75,-7.26,-7.32,Import,2024,Qtr 2,June,1
2897,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,102615,368539,,13.7,13.62,Import,2024,Qtr 2,June,1
2898,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,15309,54982,,-28.71,-28.76,Import,2024,Qtr 2,June,1
2899,PETROLEUM GROUP,, OTHERS,,,2,6,,-85.75,-84.94,Import,2024,Qtr 2,June,1
2901,TEXTILE GROUP,, RAW COTTON,MT,36986,21834,78418,38.98,41.4,41.3,Import,2024,Qtr 2,June,1
2902,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,33883,14974,53779,26.74,25.9,25.82,Import,2024,Qtr 2,June,1
2903,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,30166,13928,50020,-7.38,-4.59,-4.66,Import,2024,Qtr 2,June,1
2904,TEXTILE GROUP,, WORN CLOTHING,MT,89925,11162,40089,-0.66,2.45,2.38,Import,2024,Qtr 2,June,1
2905,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,21588,77532,,12.32,12.24,Import,2024,Qtr 2,June,1
2907,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,52537,4821,17315,-46.78,-68.82,-68.84,Import,2024,Qtr 2,June,1
2908,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2378,3858,13856,-47.69,-32.94,-32.98,Import,2024,Qtr 2,June,1
2909,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,154140,52924,190073,3.81,4.16,4.09,Import,2024,Qtr 2,June,1
2910,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,2150,23243,83477,-25.73,-28.93,-28.98,Import,2024,Qtr 2,June,1
2911,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,101876,365883,,-2.81,-2.88,Import,2024,Qtr 2,June,1
2913,METAL GROUP,, GOLD,KG,0,0,0,0,0,0,Import,2024,Qtr 2,June,1
2914,METAL GROUP,, IRON AND STEEL SCRAP,MT,216809,27398,98397,-14.38,-13.13,-13.18,Import,2024,Qtr 2,June,1
2915,METAL GROUP,, IRON AND STEEL,MT,260358,48702,174909,-6.94,-15.48,-15.54,Import,2024,Qtr 2,June,1
2916,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,4374,15709,,30.4,30.31,Import,2024,Qtr 2,June,1
2917,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,23745,85278,,6.83,6.75,Import,2024,Qtr 2,June,1
2919,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,35248,6301,22631,-18.15,-1.23,-1.3,Import,2024,Qtr 2,June,1
2920,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,362110,2742,9847,-21.39,4.98,4.91,Import,2024,Qtr 2,June,1
2921,MISCELLANEOUS GROUP,, WOOD & CORK,,,2279,8184,,-8.24,-8.3,Import,2024,Qtr 2,June,1
2922,MISCELLANEOUS GROUP,, JUTE,MT,2471,469,1685,77.75,85.25,85.07,Import,2024,Qtr 2,June,1
2923,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,40622,10105,36291,22.12,13.67,13.59,Import,2024,Qtr 2,June,1
2924,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,83793,300936,,16.74,16.66,Import,2024,Qtr 2,June,1
2927,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,2100,2464,8841,52.73,43.76,44.04,Import,2024,Qtr 1,March,1
2928,FOOD GROUP,, WHEAT UNMILLED,MT,691136,57192,205206,-11.18,-9.53,-9.38,Import,2024,Qtr 1,March,1
2929,FOOD GROUP,, DRY FRUITS & NUTS,MT,7461,1375,4934,-2.16,-12.42,-12.24,Import,2024,Qtr 1,March,1
2930,FOOD GROUP,, TEA,MT,22975,16315,58539,29.77,29.09,29.31,Import,2024,Qtr 1,March,1
2931,FOOD GROUP,, SPICES,MT,15268,4869,17470,-0.6,6.1,6.28,Import,2024,Qtr 1,March,1
2932,FOOD GROUP,, SOYABEAN OIL,MT,10250,2900,10405,86.19,83.08,83.38,Import,2024,Qtr 1,March,1
2933,FOOD GROUP,, PALM OIL,MT,304307,76343,273920,35.81,37.36,37.59,Import,2024,Qtr 1,March,1
2934,FOOD GROUP,, SUGAR,MT,193,57,205,-42.56,-44.66,-44.29,Import,2024,Qtr 1,March,1
2935,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,96070,18504,66393,22.56,18.47,18.68,Import,2024,Qtr 1,March,1
2936,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,51073,183251,,2.29,2.46,Import,2024,Qtr 1,March,1
2938,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,7877,28263,,23.54,23.76,Import,2024,Qtr 1,March,1
2939,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,9371,33623,,1.1,1.27,Import,2024,Qtr 1,March,1
2940,MACHINERY GROUP,, TEXTILE MACHINERY,,,2638,9465,,-35.56,-35.45,Import,2024,Qtr 1,March,1
2941,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,1622,5820,,-23.74,-23.61,Import,2024,Qtr 1,March,1
2942,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,117154,420351,,56.36,56.62,Import,2024,Qtr 1,March,1
2944,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,42656,153051,,-5.04,-4.87,Import,2024,Qtr 1,March,1
2945,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,10031,35991,,18.54,18.74,Import,2024,Qtr 1,March,1
2946,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,2261,8113,,83.97,84.22,Import,2024,Qtr 1,March,1
2947,MACHINERY GROUP,, OTHER MACHINERY,,,32661,117188,,-20.41,-20.27,Import,2024,Qtr 1,March,1
2951,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,366,1313,,-16.44,-16.37,Import,2024,Qtr 1,March,1
2952,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,5580,20021,,-23.79,-23.66,Import,2024,Qtr 1,March,1
2953,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,42,151,,-27.59,-27.05,Import,2024,Qtr 1,March,1
2955,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,4811,17262,,40.1,40.35,Import,2024,Qtr 1,March,1
2956,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,16635,59687,,18.09,18.29,Import,2024,Qtr 1,March,1
2957,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,821,2946,,-19.43,-19.31,Import,2024,Qtr 1,March,1
2958,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,6612,23724,,20.09,20.28,Import,2024,Qtr 1,March,1
2959,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,780,2799,,42.86,43.1,Import,2024,Qtr 1,March,1
2960,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,325,1166,,-92.94,-92.93,Import,2024,Qtr 1,March,1
2961,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,238,854,,-45.41,-45.26,Import,2024,Qtr 1,March,1
2963,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,826012,138527,497038,3.8,1.01,1.18,Import,2024,Qtr 1,March,1
2964,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,1007768,177060,635295,75.1,69.8,70.09,Import,2024,Qtr 1,March,1
2965,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,81647,292951,,-7.98,-7.83,Import,2024,Qtr 1,March,1
2966,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,22486,80680,,27.06,27.28,Import,2024,Qtr 1,March,1
2967,PETROLEUM GROUP,, OTHERS,,,11,39,,37.5,30,Import,2024,Qtr 1,March,1
2969,TEXTILE GROUP,, RAW COTTON,MT,14196,8484,30441,162.02,149.16,149.56,Import,2024,Qtr 1,March,1
2970,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,27314,11799,42335,8.89,11.41,11.6,Import,2024,Qtr 1,March,1
2971,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,25143,12076,43329,-7.15,-0.12,0.04,Import,2024,Qtr 1,March,1
2972,TEXTILE GROUP,, WORN CLOTHING,MT,84615,10275,36867,22.86,23.57,23.79,Import,2024,Qtr 1,March,1
2973,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,16369,58732,,-5.83,-5.68,Import,2024,Qtr 1,March,1
2975,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,66093,7716,27685,-4.75,-13.28,-13.13,Import,2024,Qtr 1,March,1
2976,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2345,4221,15145,-34.18,-12.68,-12.54,Import,2024,Qtr 1,March,1
2977,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,148912,49625,178056,-1.78,-2.16,-1.99,Import,2024,Qtr 1,March,1
2978,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,2700,24636,88395,8.39,6.49,6.67,Import,2024,Qtr 1,March,1
2979,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,92119,330525,,-1.7,-1.53,Import,2024,Qtr 1,March,1
2981,METAL GROUP,, GOLD,KG,0,0,0,-100,-100,-100,Import,2024,Qtr 1,March,1
